2017-03-18 10:25:16 status installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-03-18 10:25:16 configure iproute2:amd64 3.16.0-2 <none>
2017-03-18 10:25:16 status unpacked iproute2:amd64 3.16.0-2
2017-03-18 10:25:16 status half-configured iproute2:amd64 3.16.0-2
2017-03-18 10:25:16 status installed iproute2:amd64 3.16.0-2
2017-03-18 10:25:16 configure libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2 <none>
2017-03-18 10:25:16 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:16 status half-configured libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:16 status installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:16 configure base-files:amd64 8+deb8u7 <none>
2017-03-18 10:25:16 status unpacked base-files:amd64 8+deb8u7
2017-03-18 10:25:16 status half-configured base-files:amd64 8+deb8u7
2017-03-18 10:25:16 status installed base-files:amd64 8+deb8u7
2017-03-18 10:25:17 configure libsemanage1:amd64 2.3-1+b1 <none>
2017-03-18 10:25:17 status unpacked libsemanage1:amd64 2.3-1+b1
2017-03-18 10:25:17 status half-configured libsemanage1:amd64 2.3-1+b1
2017-03-18 10:25:17 status installed libsemanage1:amd64 2.3-1+b1
2017-03-18 10:25:17 configure sysvinit-utils:amd64 2.88dsf-59 <none>
2017-03-18 10:25:17 status unpacked sysvinit-utils:amd64 2.88dsf-59
2017-03-18 10:25:17 status half-configured sysvinit-utils:amd64 2.88dsf-59
2017-03-18 10:25:17 status installed sysvinit-utils:amd64 2.88dsf-59
2017-03-18 10:25:17 configure debian-archive-keyring:all 2014.3 <none>
2017-03-18 10:25:17 status unpacked debian-archive-keyring:all 2014.3
2017-03-18 10:25:17 status half-configured debian-archive-keyring:all 2014.3
2017-03-18 10:25:17 status installed debian-archive-keyring:all 2014.3
2017-03-18 10:25:17 configure libp11-kit0:amd64 0.20.7-1 <none>
2017-03-18 10:25:17 status unpacked libp11-kit0:amd64 0.20.7-1
2017-03-18 10:25:17 status half-configured libp11-kit0:amd64 0.20.7-1
2017-03-18 10:25:18 status installed libp11-kit0:amd64 0.20.7-1
2017-03-18 10:25:18 configure libgnutls-deb0-28:amd64 3.3.8-6+deb8u4 <none>
2017-03-18 10:25:18 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:18 status half-configured libgnutls-deb0-28:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:18 status installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:18 configure libstdc++6:amd64 4.9.2-10 <none>
2017-03-18 10:25:18 status unpacked libstdc++6:amd64 4.9.2-10
2017-03-18 10:25:18 status half-configured libstdc++6:amd64 4.9.2-10
2017-03-18 10:25:18 status installed libstdc++6:amd64 4.9.2-10
2017-03-18 10:25:18 configure libpci3:amd64 1:3.2.1-3 <none>
2017-03-18 10:25:18 status unpacked libpci3:amd64 1:3.2.1-3
2017-03-18 10:25:18 status half-configured libpci3:amd64 1:3.2.1-3
2017-03-18 10:25:18 status installed libpci3:amd64 1:3.2.1-3
2017-03-18 10:25:18 configure libacl1:amd64 2.2.52-2 <none>
2017-03-18 10:25:18 status unpacked libacl1:amd64 2.2.52-2
2017-03-18 10:25:19 status half-configured libacl1:amd64 2.2.52-2
2017-03-18 10:25:19 status installed libacl1:amd64 2.2.52-2
2017-03-18 10:25:19 configure ncurses-bin:amd64 5.9+20140913-1+b1 <none>
2017-03-18 10:25:19 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-03-18 10:25:19 status half-configured ncurses-bin:amd64 5.9+20140913-1+b1
2017-03-18 10:25:19 status installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-03-18 10:25:19 configure acl:amd64 2.2.52-2 <none>
2017-03-18 10:25:19 status unpacked acl:amd64 2.2.52-2
2017-03-18 10:25:19 status half-configured acl:amd64 2.2.52-2
2017-03-18 10:25:19 status installed acl:amd64 2.2.52-2
2017-03-18 10:25:19 configure libapt-pkg4.12:amd64 1.0.9.8.4 <none>
2017-03-18 10:25:19 status unpacked libapt-pkg4.12:amd64 1.0.9.8.4
2017-03-18 10:25:19 status half-configured libapt-pkg4.12:amd64 1.0.9.8.4
2017-03-18 10:25:19 status installed libapt-pkg4.12:amd64 1.0.9.8.4
2017-03-18 10:25:19 configure libedit2:amd64 3.1-20140620-2 <none>
2017-03-18 10:25:19 status unpacked libedit2:amd64 3.1-20140620-2
2017-03-18 10:25:20 status half-configured libedit2:amd64 3.1-20140620-2
2017-03-18 10:25:20 status installed libedit2:amd64 3.1-20140620-2
2017-03-18 10:25:20 configure libncurses5:amd64 5.9+20140913-1+b1 <none>
2017-03-18 10:25:20 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:20 status half-configured libncurses5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:20 status installed libncurses5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:20 configure libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2 <none>
2017-03-18 10:25:20 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:20 status half-configured libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:20 status installed libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:21 configure dialog:amd64 1.2-20140911-1 <none>
2017-03-18 10:25:21 status unpacked dialog:amd64 1.2-20140911-1
2017-03-18 10:25:21 status half-configured dialog:amd64 1.2-20140911-1
2017-03-18 10:25:21 status installed dialog:amd64 1.2-20140911-1
2017-03-18 10:25:21 configure libcap2-bin:amd64 1:2.24-8 <none>
2017-03-18 10:25:21 status unpacked libcap2-bin:amd64 1:2.24-8
2017-03-18 10:25:21 status half-configured libcap2-bin:amd64 1:2.24-8
2017-03-18 10:25:21 status installed libcap2-bin:amd64 1:2.24-8
2017-03-18 10:25:21 configure iproute:all 1:3.16.0-2 <none>
2017-03-18 10:25:21 status unpacked iproute:all 1:3.16.0-2
2017-03-18 10:25:21 status half-configured iproute:all 1:3.16.0-2
2017-03-18 10:25:21 status installed iproute:all 1:3.16.0-2
2017-03-18 10:25:21 configure bsdutils:amd64 1:2.25.2-6 <none>
2017-03-18 10:25:21 status unpacked bsdutils:amd64 1:2.25.2-6
2017-03-18 10:25:21 status half-configured bsdutils:amd64 1:2.25.2-6
2017-03-18 10:25:21 status installed bsdutils:amd64 1:2.25.2-6
2017-03-18 10:25:22 configure coreutils:amd64 8.23-4 <none>
2017-03-18 10:25:22 status unpacked coreutils:amd64 8.23-4
2017-03-18 10:25:22 status half-configured coreutils:amd64 8.23-4
2017-03-18 10:25:22 status installed coreutils:amd64 8.23-4
2017-03-18 10:25:22 configure tar:amd64 1.27.1-2+deb8u1 <none>
2017-03-18 10:25:22 status unpacked tar:amd64 1.27.1-2+deb8u1
2017-03-18 10:25:22 status half-configured tar:amd64 1.27.1-2+deb8u1
2017-03-18 10:25:22 status installed tar:amd64 1.27.1-2+deb8u1
2017-03-18 10:25:22 configure libapt-inst1.5:amd64 1.0.9.8.4 <none>
2017-03-18 10:25:22 status unpacked libapt-inst1.5:amd64 1.0.9.8.4
2017-03-18 10:25:22 status half-configured libapt-inst1.5:amd64 1.0.9.8.4
2017-03-18 10:25:22 status installed libapt-inst1.5:amd64 1.0.9.8.4
2017-03-18 10:25:22 configure libgnutls-openssl27:amd64 3.3.8-6+deb8u4 <none>
2017-03-18 10:25:22 status unpacked libgnutls-openssl27:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:23 status half-configured libgnutls-openssl27:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:23 status installed libgnutls-openssl27:amd64 3.3.8-6+deb8u4
2017-03-18 10:25:23 configure dpkg:amd64 1.17.27 <none>
2017-03-18 10:25:23 status unpacked dpkg:amd64 1.17.27
2017-03-18 10:25:23 status half-configured dpkg:amd64 1.17.27
2017-03-18 10:25:23 status installed dpkg:amd64 1.17.27
2017-03-18 10:25:23 configure pciutils:amd64 1:3.2.1-3 <none>
2017-03-18 10:25:23 status unpacked pciutils:amd64 1:3.2.1-3
2017-03-18 10:25:23 status half-configured pciutils:amd64 1:3.2.1-3
2017-03-18 10:25:23 status installed pciutils:amd64 1:3.2.1-3
2017-03-18 10:25:23 configure libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2 <none>
2017-03-18 10:25:23 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:23 status half-configured libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:23 status installed libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-03-18 10:25:25 configure sed:amd64 4.2.2-4+deb8u1 <none>
2017-03-18 10:25:25 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-03-18 10:25:26 status half-configured sed:amd64 4.2.2-4+deb8u1
2017-03-18 10:25:27 status installed sed:amd64 4.2.2-4+deb8u1
2017-03-18 10:25:28 configure iputils-ping:amd64 3:20121221-5+b2 <none>
2017-03-18 10:25:28 status unpacked iputils-ping:amd64 3:20121221-5+b2
